########################################################
Tests on different orderings
#########################################################

Naive n-k-m:
Dimension       Time    Gflop/s       GB/s        Error
	  1024   0.215250   9.976690  40.023674 0.000000e+00
      1072   0.263791   9.340172  37.465242 0.000000e+00
      1120   0.326425   8.607963  34.524080 0.000000e+00
      1168   0.390712   8.156457  32.709629 0.000000e+00
      1216   0.464154   7.747632  31.066983 0.000000e+00
      1264   0.565197   7.146138  28.652395 0.000000e+00
      1312   0.640209   7.055203  28.285341 0.000000e+00
      1360   0.733908   6.854964  27.480339 0.000000e+00
      1408   0.836780   6.671547  26.743047 0.000000e+00
      1456   0.947573   6.514806  26.112919 0.000000e+00
      1504   1.058660   6.427129  25.759797 0.000000e+00
      1552   1.177674   6.348631  25.443612 0.000000e+00
      1600   1.301753   6.293050  25.219399 0.000000e+00
      1648   1.439357   6.219181  24.922009 0.000000e+00
      1696   1.587697   6.145257  24.624508 0.000000e+00
      1744   1.725760   6.147366  24.631762 0.000000e+00
      1792   1.885667   6.103501  24.454875 0.000000e+00
      1840   2.086131   5.972304  23.928167 0.000000e+00
      1888   2.255726   5.966912  23.905574 0.000000e+00
      1936   2.452830   5.916688  23.703426 0.000000e+00
      1984   2.644453   5.906350  23.661124 0.000000e+00

k-n-m:
Dimension       Time    Gflop/s       GB/s        Error
      1024   0.248718   8.634201  34.637988 0.000000e+00
      1072   0.278335   8.852100  35.507492 0.000000e+00
      1120   0.372985   7.533423  30.214407 0.000000e+00
      1168   0.439049   7.258472  29.108463 0.000000e+00
      1216   0.520738   6.905759  27.691185 0.000000e+00
      1264   0.692100   5.835825  23.398705 0.000000e+00
      1312   0.899114   5.023618  20.140418 0.000000e+00
      1360   0.942580   5.337386  21.396638 0.000000e+00
      1408   1.096359   5.091960  20.411238 0.000000e+00
      1456   1.321667   4.670808  18.721728 0.000000e+00
      1504   1.426748   4.768987  19.113997 0.000000e+00
      1552   1.623906   4.604095  18.451977 0.000000e+00
      1600   1.767913   4.633713  18.569604 0.000000e+00
      1648   2.013132   4.446613  17.818829 0.000000e+00
      1696   2.252834   4.330902  17.354253 0.000000e+00
      1744   2.482686   4.273145  17.121984 0.000000e+00
      1792   2.746082   4.191125  16.792564 0.000000e+00
      1840   2.912640   4.277565  17.138159 0.000000e+00
      1888   3.193139   4.215199  16.887588 0.000000e+00
      1936   3.586344   4.046636  16.211627 0.000000e+00
      1984   3.874928   4.030801  16.147583 0.000000e+00

m-k-n
Dimension       Time    Gflop/s       GB/s        Error
        16   0.488595   4.093378  19.443545 0.000000e+00
        64   0.641971   3.115654  13.046802 0.000000e+00
       112   0.502748   3.979368  16.343831 0.000000e+00
       160   1.313861   1.527589   6.224927 0.000000e+00
       208   0.979675   2.057577   8.349016 0.000000e+00
       256   4.051602   0.496906   2.010917 0.000000e+00
       304   1.270465   1.592174   6.431546 0.000000e+00
       352   1.406828   1.426083   5.752948 0.000000e+00
       400   1.292497   1.584530   6.385656 0.000000e+00
       448   2.188712   0.985954   3.970226 0.000000e+00
       496   1.406003   1.562181   6.286519 0.000000e+00
       544   1.844899   1.221665   4.913607 0.000000e+00
       592   1.362730   1.522493   6.120831 0.000000e+00
       640   3.542494   0.591999   2.379095 0.000000e+00
       688   4.761474   0.547159   2.198181 0.000000e+00
       736   2.421701   0.987789   3.967261 0.000000e+00
       784   5.689017   0.508232   2.040708 0.000000e+00
       832   5.628641   0.409286   1.643045 0.000000e+00
       880   7.436031   0.366578   1.471312 0.000000e+00
       928  10.227848   0.312550   1.254242 0.000000e+00
       976  12.581734   0.295576   1.185938 0.000000e+00
      1024   7.279018   0.295024   1.183553 0.000000e+00
      1072   8.984115   0.274245   1.100051 0.000000e+00
      1120   9.952409   0.282329   1.132342 0.000000e+00
      1168  11.907731   0.267627   1.073257 0.000000e+00
      1216  13.868415   0.259301   1.039762 0.000000e+00

Blocked 16 n-k-m:
Dimension       Time    Gflop/s       GB/s        Error
        16   0.118356  16.898201  16.898201 0.000000e+00
        64   0.118369  16.897671  10.561044 0.000000e+00
       112   0.118246  16.919059   9.668034 0.000000e+00
       160   0.126445  15.872810   8.730046 0.000000e+00
       208   0.121381  16.606908   8.942181 0.000000e+00
       256   0.159543  12.618922   6.703802 0.000000e+00
       304   0.124288  16.275162   8.565875 0.000000e+00
       352   0.126051  15.916160   8.319811 0.000000e+00
       400   0.125818  16.277442   8.464270 0.000000e+00
       448   0.138213  15.613355   8.085487 0.000000e+00
       496   0.134897  16.282329   8.403783 0.000000e+00
       544   0.141517  15.926337   8.197379 0.000000e+00
       592   0.126271  16.430934   8.437507 0.000000e+00
       640   0.141671  14.802931   7.586502 0.000000e+00
       688   0.161059  16.175961   8.276073 0.000000e+00
       736   0.151746  15.763992   8.053344 0.000000e+00
       784   0.179746  16.085683   8.206981 0.000000e+00
       832   0.153301  15.027483   7.658236 0.000000e+00
       880   0.171178  15.924335   8.106934 0.000000e+00
       928   0.201278  15.882114   8.077972 0.000000e+00
       976   0.228371  16.284279   8.275617 0.000000e+00
      1024   0.217144   9.889693   5.022110 0.000000e+00
      1072   0.151572  16.255283   8.248949 0.000000e+00
      1120   0.177050  15.870374   8.048547 0.000000e+00
      1168   0.202053  15.772255   7.994157 0.000000e+00
      1216   0.235926  15.242483   7.721521 0.000000e+00
      1264   0.255358  15.816940   8.008577 0.000000e+00
      1312   0.291694  15.484737   7.836788 0.000000e+00
      1360   0.330380  15.227667   7.703408 0.000000e+00
      1408   0.399827  13.962571   7.060619 0.000000e+00
      1456   0.402035  15.355032   7.761884 0.000000e+00
      1504   0.457192  14.882455   7.520389 0.000000e+00
      1552   0.510775  14.637791   7.394348 0.000000e+00
      1600   0.567464  14.436150   7.290256 0.000000e+00
      1648   0.633494  14.130541   7.133865 0.000000e+00
      1696   0.667095  14.625798   7.381889 0.000000e+00
      1744   0.700132  15.152677   7.645846 0.000000e+00
      1792   0.946826  12.155527   6.132029 0.000000e+00
      1840   0.838748  14.854292   7.491730 0.000000e+00
      1888   0.924781  14.554494   7.338919 0.000000e+00
      1936   0.967216  15.004541   7.564273 0.000000e+00
      1984   1.101646  14.177929   7.146133 0.000000e+00

BLocked 16 m-k-n:
Dimension       Time    Gflop/s       GB/s        Error
        16   0.492654   4.059650   4.059650 0.000000e+00
        64   0.585812   3.414335   2.133959 0.000000e+00
       112   0.493098   4.057242   2.318424 0.000000e+00
       160   0.493783   4.064622   2.235542 0.000000e+00
       208   0.499155   4.038336   2.174489 0.000000e+00
       256   1.213845   1.658586   0.881124 0.000000e+00
       304   0.500876   4.038526   2.125540 0.000000e+00
       352   0.519509   3.861824   2.018681 0.000000e+00
       400   0.510802   4.009378   2.084877 0.000000e+00
       448   0.659378   3.272734   1.694809 0.000000e+00
       496   0.542676   4.047408   2.088985 0.000000e+00
       544   0.571973   3.940480   2.028188 0.000000e+00
       592   0.522692   3.969352   2.038316 0.000000e+00
       640   0.781630   2.683050   1.375063 0.000000e+00
       688   0.676024   3.853834   1.971729 0.000000e+00
       736   0.632177   3.783957   1.933108 0.000000e+00
       784   0.772034   3.745097   1.910764 0.000000e+00
       832   0.723889   3.182425   1.621813 0.000000e+00
       880   0.740128   3.682996   1.874980 0.000000e+00
       928   0.879523   3.634601   1.848633 0.000000e+00
	   976   1.000767   3.716008   1.888463 0.000000e+00
      1024   3.705088   0.579604   0.294330 0.000000e+00
      1072   0.683131   3.606703   1.830267 0.000000e+00
      1120   0.776239   3.619832   1.835772 0.000000e+00
      1168   0.935184   3.407700   1.727191 0.000000e+00
      1216   1.162536   3.093316   1.567009 0.000000e+00
      1264   1.102495   3.663487   1.854930 0.000000e+00
      1312   1.278168   3.533812   1.788454 0.000000e+00
      1360   1.513981   3.322970   1.681032 0.000000e+00
      1408   2.240677   2.491488   1.259900 0.000000e+00
      1456   1.711503   3.606919   1.823278 0.000000e+00
      1504   1.965280   3.462176   1.749504 0.000000e+00
      1552   2.102985   3.555240   1.795946 0.000000e+00
      1600   2.792576   2.933492   1.481414 0.000000e+00
      1648   2.774713   3.226143   1.628732 0.000000e+00
      1696   2.839621   3.435953   1.734184 0.000000e+00
      1744   3.012099   3.522088   1.777200 0.000000e+00
      1792   7.225327   1.592893   0.803557 0.000000e+00
      1840   3.500996   3.558704   1.794825 0.000000e+00
      1888   3.733105   3.605502   1.818029 0.000000e+00
      1936   4.068158   3.567371   1.798427 0.000000e+00
      1984   5.066681   3.082701   1.553781 0.000000e+00

